Jurisdiction,Year,Title,Insititution,Key
multi_jur,2014,Emissions Trading Worldwide - Status Report 2014,ICAP,ICAP - SR
multi_jur,2015,Emissions Trading Worldwide - Status Report 2015,ICAP,ICAP - SR
multi_jur,2015,ETS map Factsheet,ICAP,ICAP - FS
"Korea, Rep.",2017,Korea ETS map Factsheet,ICAP,ICAP - FS - K
"Korea, Rep.",2018,Korea ETS map Factsheet,ICAP,ICAP - FS - K
multi_jur,2013,Effective Carbon Prices,OECD,OECD - ECP
Poland,2015,OECD Environmental Performand Reviews - Poland,OECD ,OECD - EP - P
multi_jur,2003,State and trends of the carbon market,WB,WB - SCM
multi_jur,2004,State and trends of the carbon market,WB,WB - SCM
multi_jur,2005,State and trends of the carbon market,WB,WB - SCM
multi_jur,2006,State and trends of the carbon market,WB,WB - SCM
multi_jur,2007,State and trends of the carbon market,WB,WB - SCM
multi_jur,2008,State and trends of the carbon market,WB,WB - SCM
multi_jur,2009,State and trends of the carbon market,WB,WB - SCM
multi_jur,2010,State and trends of the carbon market,WB,WB - SCM
multi_jur,2011,State and trends of the carbon market,WB,WB - SCM
multi_jur,2012,State and trends of the carbon market,WB,WB - SCM
multi_jur,2013,Mapping Carbon Pricing Initiatives,WB,WB - CPI
multi_jur,2014,Carbon Pricing Brief,WB,WB - CPB
multi_jur,2014,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2015,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2015,Background note on Carbon Tax,WB,WB - BCT
multi_jur,2016,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2017,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2018,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2019,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2020,State and trends of carbon pricing,WB,WB - STCP
multi_jur,2021,State and trends of carbon pricing,WB,WB - STCP
Washington State,2014,Report to the Washington State Governorâ Office,Carbon Emissions Reduction Taskforce,CERT - G
Japan,2009,Japan's Voluntary Emissions Trading Scheme,Ministry of the Environment,JME - JVETS
British Columbia,2015,Climate Action Plan,Government of British Columbia,BC - CAP
multi_jur,2012,Carbon Pricing Report,CETRiE,CETRiE - CPR
Australia,2011,Australia's carbon pricing mechanism,Center for Climate and Energy solution,CCES - CPM
Sweden,2011,CO2 Taxation in Sweden - 20 years of experience and looking ahead,Swedish Ministry of Finance (Hammar&Hakerfeldt),SMF - CT
