scheme_id,year,ghg,product,rate,currency_code,source,comment
nld_tax,2021,CO2,Coal,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2021,CO2,Oil,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2021,CO2,Natural gas,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2021,N2O,Coal,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2021,N2O,Oil,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2021,N2O,Natural gas,3.75,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,CO2,Coal,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,CO2,Oil,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,CO2,Natural gas,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,N2O,Coal,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,N2O,Oil,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
nld_tax,2022,N2O,Natural gas,,EUR,"leg(NLD[2020b]), web(NLD-NEA[2022])","the recorded rate is that for a greenhouse gas installation, which is the difference between the minimum rate set by the legislation - �30.48/tCO2 - and the average of daily forward EUA prices between Sept 1 and Oct 31; that is, for EU ETS installations the tax acts as a carbon price floor and they face a reduced rate"
