scheme_id,jurisdiction,year,ipcc_code,cf_CH4,cf_CH4_source,cf_CH4_comment
zaf_tax,South Africa,2019,0,,NA,NA
zaf_tax,South Africa,2019,1,,NA,NA
zaf_tax,South Africa,2019,1A,,NA,NA
zaf_tax,South Africa,2019,1A1,,NA,NA
zaf_tax,South Africa,2019,1A1A,,NA,NA
zaf_tax,South Africa,2019,1A1A1,1.0,NA,NA
zaf_tax,South Africa,2019,1A1A2,1.0,NA,NA
zaf_tax,South Africa,2019,1A1A3,1.0,NA,NA
zaf_tax,South Africa,2019,1A1B,1.0,NA,NA
zaf_tax,South Africa,2019,1A1C,1.0,NA,NA
zaf_tax,South Africa,2019,1A2,,NA,NA
zaf_tax,South Africa,2019,1A2A,1.0,NA,NA
zaf_tax,South Africa,2019,1A2B,1.0,NA,NA
zaf_tax,South Africa,2019,1A2C,1.0,NA,NA
zaf_tax,South Africa,2019,1A2D,1.0,NA,NA
zaf_tax,South Africa,2019,1A2E,1.0,NA,NA
zaf_tax,South Africa,2019,1A2F,1.0,NA,NA
zaf_tax,South Africa,2019,1A2G,1.0,NA,NA
zaf_tax,South Africa,2019,1A2H,1.0,NA,NA
zaf_tax,South Africa,2019,1A2I,1.0,NA,NA
zaf_tax,South Africa,2019,1A2J,1.0,NA,NA
zaf_tax,South Africa,2019,1A2K,1.0,NA,NA
zaf_tax,South Africa,2019,1A2L,1.0,NA,NA
zaf_tax,South Africa,2019,1A2M,1.0,NA,NA
zaf_tax,South Africa,2019,1A3,,NA,NA
zaf_tax,South Africa,2019,1A3A,,NA,NA
zaf_tax,South Africa,2019,1A3A1,1.0,NA,NA
zaf_tax,South Africa,2019,1A3A2,1.0,NA,NA
zaf_tax,South Africa,2019,1A3B,1.0,NA,NA
zaf_tax,South Africa,2019,1A3C,1.0,NA,NA
zaf_tax,South Africa,2019,1A3D,1.0,NA,NA
zaf_tax,South Africa,2019,1A3D1,1.0,NA,NA
zaf_tax,South Africa,2019,1A3D2,1.0,NA,NA
zaf_tax,South Africa,2019,1A3E,1.0,NA,NA
zaf_tax,South Africa,2019,1A3E1,1.0,NA,NA
zaf_tax,South Africa,2019,1A4,,NA,NA
zaf_tax,South Africa,2019,1A4A,1.0,NA,NA
zaf_tax,South Africa,2019,1A4B,,NA,NA
zaf_tax,South Africa,2019,1A4C,,NA,NA
zaf_tax,South Africa,2019,1A4C1,1.0,NA,NA
zaf_tax,South Africa,2019,1A4C2,1.0,NA,NA
zaf_tax,South Africa,2019,1A4C3,1.0,NA,NA
zaf_tax,South Africa,2019,1A5,,NA,NA
zaf_tax,South Africa,2019,1A5A,1.0,NA,NA
zaf_tax,South Africa,2019,1A5B,1.0,NA,NA
zaf_tax,South Africa,2019,1A5C,1.0,NA,NA
zaf_tax,South Africa,2019,1B,,NA,NA
zaf_tax,South Africa,2019,1B1,,NA,NA
zaf_tax,South Africa,2019,1B1A,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A1,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A11,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A12,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A13,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A14,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A2,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A21,1.0,NA,NA
zaf_tax,South Africa,2019,1B1A22,1.0,NA,NA
zaf_tax,South Africa,2019,1B1B,,NA,NA
zaf_tax,South Africa,2019,1B2,,NA,NA
zaf_tax,South Africa,2019,1B2A,,NA,NA
zaf_tax,South Africa,2019,1B2A1,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A2,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A3,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A31,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A32,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A33,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A34,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A35,1.0,NA,NA
zaf_tax,South Africa,2019,1B2A36,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B,,NA,NA
zaf_tax,South Africa,2019,1B2B1,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B2,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B3,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B31,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B32,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B33,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B34,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B35,1.0,NA,NA
zaf_tax,South Africa,2019,1B2B36,1.0,NA,NA
zaf_tax,South Africa,2019,1B3,,NA,NA
zaf_tax,South Africa,2019,1C,,NA,NA
zaf_tax,South Africa,2019,1C1,,NA,NA
zaf_tax,South Africa,2019,1C1A,1.0,NA,NA
zaf_tax,South Africa,2019,1C1B,1.0,NA,NA
zaf_tax,South Africa,2019,1C1C,1.0,NA,NA
zaf_tax,South Africa,2019,1C2,,NA,NA
zaf_tax,South Africa,2019,1C2A,1.0,NA,NA
zaf_tax,South Africa,2019,1C2B,1.0,NA,NA
zaf_tax,South Africa,2019,1C3,1.0,NA,NA
zaf_tax,South Africa,2019,2,,NA,NA
zaf_tax,South Africa,2019,2A,,NA,NA
zaf_tax,South Africa,2019,2A1,1.0,NA,NA
zaf_tax,South Africa,2019,2A2,1.0,NA,NA
zaf_tax,South Africa,2019,2A3,1.0,NA,NA
zaf_tax,South Africa,2019,2A4,1.0,NA,NA
zaf_tax,South Africa,2019,2A4A,1.0,NA,NA
zaf_tax,South Africa,2019,2A4B,1.0,NA,NA
zaf_tax,South Africa,2019,2A4C,1.0,NA,NA
zaf_tax,South Africa,2019,2A4D,1.0,NA,NA
