emissions factor coal,2.249246377,,,,,,
,,,,,,,
01/01/2019,31/12/2019,12.83300945,,,,,
01/01/2020,14/02/2020,12.83300945,,,,,
15/02/2020,31/12/2020,23.79147992,,,,,
,,,,,,,
,,,,,,,
scheme_id,Year,Oil,Natural gas,Coal/peat,currency_code,source,comment
prt_tax,2015,5,5,5,EUR,IEA-EPT[2020],
prt_tax,2016,6.9,6.9,6.9,EUR,IEA-EPT[2020],
prt_tax,2017,6.9,6.9,6.9,EUR,IEA-EPT[2020],
prt_tax,2018,6.9,6.9,6.9,EUR,IEA-EPT[2020],"Coal used for power generation: In 2018 it was applied 10%, 2019 25%, and in 2020 50% of the normal carbon tax applied to coal, calculated using a tax rate of 6,85 EUR/tonneCO2 in 2018 and 5 EUR/tonneCO2 in 2019 and 2020 "
prt_tax,2019,12.83300945,12.83300945,12.83300945,EUR,IEA-EPT[2020],"Coal used for power generation: In 2018 it was applied 10%, 2019 25%, and in 2020 50% of the normal carbon tax applied to coal, calculated using a tax rate of 6,85 EUR/tonneCO2 in 2018 and 5 EUR/tonneCO2 in 2019 and 2020 "
prt_tax,2020,21.50846523,21.50846523,21.50846523,EUR,IEA-EPT[2020],"Coal used for power generation: In 2018 it was applied 10%, 2019 25%, and in 2020 50% of the normal carbon tax applied to coal, calculated using a tax rate of 6,85 EUR/tonneCO2 in 2018 and 5 EUR/tonneCO2 in 2019 and 2020 "
