jurisdiction,year,authors,title,citation_key
Denmark,2005,Wier&al.,Are CO2 taxes regressive: evidence from the Danish experience,Wier2005
Finland,2005,Vehmas,Energy-related taxation as an environmental policy tool - the Finnish experience,Vehmas2005
Ireland,2015,Convery&al.,"Ireland's Carbon Tax and the Fiscal Crisis: Issues in Fiscal Adjustment, Environmental Effectiveness, Competitiveness, Leakage and Equity Implications",Convery2015
"Finland, Denmark",2010,Harrison,The Political Economy of Carbon Taxation,Harrison2010
"Korea, Republic of",2015,Hyun&Oh,Korea‚Äôs Emission Trading System: An Attempt of Non-Annex I Party Countries to Reduce GHG Emissions Voluntarily,Hyun2015
"China, California",2015,Xiong&al.,Assessment of Allowance Mechanism in China's Carbon Trading Pilots,Xiong2015
Slovenia,2007,Markovi-Hribernik&Murks,Slovenia's climate policy efforts: CO2 tax and implementation of EU ETS,Markovi2007
Poland,1997,Anderson&Boguslaw,Environmental Charges in Poland,Anderson1997
France,2014,El Beze,La reforme de la fiscalite de l'energie ,ElBeze2014
British Columbia,2015,Murray&Rivers,British Columbia’s revenue-neutral carbon tax: A review of the latest “grand experiment” in environmental policy ,Murray2015
Ukraine,2015,Frey,Assessing the Impact of a Carbon Tax in Ukraine ,Frey2015
